,,Disease Name,
http://babelnet.org/rdf/page/s05133777n,s05133777n,,
http://babelnet.org/rdf/page/s05139545n,s05139545n,,
http://babelnet.org/rdf/page/s09296771n,s09296771n,,
http://babelnet.org/rdf/page/s04136073n,s04136073n,,
http://babelnet.org/rdf/page/s19829606n,s19829606n,,
http://babelnet.org/rdf/page/s06326361n,s06326361n,,
http://babelnet.org/rdf/page/s17909472n,s17909472n,,
http://babelnet.org/rdf/page/s23868545n,s23868545n,,
http://babelnet.org/rdf/page/s05923503n,s05923503n,,
http://babelnet.org/rdf/page/s06751792n,s06751792n,,
http://babelnet.org/rdf/page/s14805770n,s14805770n,,
http://babelnet.org/rdf/page/s18171652n,s18171652n,,
http://babelnet.org/rdf/page/s06251030n,s06251030n,,
http://babelnet.org/rdf/page/s22558369n,s22558369n,,
http://babelnet.org/rdf/page/s28555587n,s28555587n,,
http://babelnet.org/rdf/page/s05881878n,s05881878n,,
http://babelnet.org/rdf/page/s05050399n,s05050399n,,
http://babelnet.org/rdf/page/s24812204n,s24812204n,,
http://babelnet.org/rdf/page/s05217444n,s05217444n,,
http://babelnet.org/rdf/page/s05496026n,s05496026n,,
http://babelnet.org/rdf/page/s06437477n,s06437477n,,
http://babelnet.org/rdf/page/s07004396n,s07004396n,,
http://babelnet.org/rdf/page/s15050734n,s15050734n,,
http://babelnet.org/rdf/page/s12666621n,s12666621n,,
http://babelnet.org/rdf/page/s14622663n,s14622663n,,
http://babelnet.org/rdf/page/s06446628n,s06446628n,,
http://babelnet.org/rdf/page/s06446661n,s06446661n,,
http://babelnet.org/rdf/page/s05214818n,s05214818n,,
http://babelnet.org/rdf/page/s05174379n,s05174379n,,
http://babelnet.org/rdf/page/s06393170n,s06393170n,,
http://babelnet.org/rdf/page/s16104442n,s16104442n,,
http://babelnet.org/rdf/page/s22695872n,s22695872n,,
http://babelnet.org/rdf/page/s23644460n,s23644460n,,
http://babelnet.org/rdf/page/s15268273n,s15268273n,,
http://babelnet.org/rdf/page/s05293302n,s05293302n,,
http://babelnet.org/rdf/page/s05178663n,s05178663n,,
http://babelnet.org/rdf/page/s15953729n,s15953729n,,
http://babelnet.org/rdf/page/s06074443n,s06074443n,,
http://babelnet.org/rdf/page/s05059738n,s05059738n,,
http://babelnet.org/rdf/page/s05775603n,s05775603n,,
http://babelnet.org/rdf/page/s05143456n,s05143456n,,
http://babelnet.org/rdf/page/s05498925n,s05498925n,,
http://babelnet.org/rdf/page/s05578637n,s05578637n,,
http://babelnet.org/rdf/page/s05330139n,s05330139n,,
http://babelnet.org/rdf/page/s17884801n,s17884801n,,
http://babelnet.org/rdf/page/s05302442n,s05302442n,,
http://babelnet.org/rdf/page/s05300719n,s05300719n,,
http://babelnet.org/rdf/page/s11107658n,s11107658n,,
http://babelnet.org/rdf/page/s06384736n,s06384736n,,
http://babelnet.org/rdf/page/s21504023n,s21504023n,,
http://babelnet.org/rdf/page/s22497531n,s22497531n,,
http://babelnet.org/rdf/page/s06536613n,s06536613n,,
http://babelnet.org/rdf/page/s05392045n,s05392045n,,
http://babelnet.org/rdf/page/s06438186n,s06438186n,,
http://babelnet.org/rdf/page/s05135357n,s05135357n,,
http://babelnet.org/rdf/page/s11224492n,s11224492n,,
http://babelnet.org/rdf/page/s15613668n,s15613668n,,
http://babelnet.org/rdf/page/s08702126n,s08702126n,,
http://babelnet.org/rdf/page/s17267957n,s17267957n,,
http://babelnet.org/rdf/page/s05940977n,s05940977n,,
http://babelnet.org/rdf/page/s05333751n,s05333751n,,
http://babelnet.org/rdf/page/s05370329n,s05370329n,,
http://babelnet.org/rdf/page/s06361549n,s06361549n,,
http://babelnet.org/rdf/page/s06448973n,s06448973n,,
http://babelnet.org/rdf/page/s07078619n,s07078619n,,
http://babelnet.org/rdf/page/s24061997n,s24061997n,,
http://babelnet.org/rdf/page/s05255536n,s05255536n,,
http://babelnet.org/rdf/page/s06294895n,s06294895n,,
http://babelnet.org/rdf/page/s03898900n,s03898900n,,
http://babelnet.org/rdf/page/s05284252n,s05284252n,,
http://babelnet.org/rdf/page/s05937454n,s05937454n,,
http://babelnet.org/rdf/page/s06080918n,s06080918n,,
http://babelnet.org/rdf/page/s06114870n,s06114870n,,
http://babelnet.org/rdf/page/s06293020n,s06293020n,,
http://babelnet.org/rdf/page/s11679346n,s11679346n,,
http://babelnet.org/rdf/page/s15034742n,s15034742n,,
http://babelnet.org/rdf/page/s05149118n,s05149118n,,
http://babelnet.org/rdf/page/s13897242n,s13897242n,,
http://babelnet.org/rdf/page/s06249501n,s06249501n,,
http://babelnet.org/rdf/page/s10264741n,s10264741n,,
http://babelnet.org/rdf/page/s07041931n,s07041931n,,
http://babelnet.org/rdf/page/s17918751n,s17918751n,,
http://babelnet.org/rdf/page/s07878672n,s07878672n,,
http://babelnet.org/rdf/page/s05291361n,s05291361n,,
http://babelnet.org/rdf/page/s05069151n,s05069151n,,
http://babelnet.org/rdf/page/s05307477n,s05307477n,,
http://babelnet.org/rdf/page/s05323840n,s05323840n,,
http://babelnet.org/rdf/page/s05940179n,s05940179n,,
http://babelnet.org/rdf/page/s05952746n,s05952746n,,
http://babelnet.org/rdf/page/s12627153n,s12627153n,,
http://babelnet.org/rdf/page/s12627303n,s12627303n,,
http://babelnet.org/rdf/page/s12633772n,s12633772n,,
http://babelnet.org/rdf/page/s16520765n,s16520765n,,
http://babelnet.org/rdf/page/s18137502n,s18137502n,,
http://babelnet.org/rdf/page/s18455199n,s18455199n,,
http://babelnet.org/rdf/page/s21507884n,s21507884n,,
http://babelnet.org/rdf/page/s25240364n,s25240364n,,
http://babelnet.org/rdf/page/s27479441n,s27479441n,,
http://babelnet.org/rdf/page/s28814608n,s28814608n,,
http://babelnet.org/rdf/page/s04074911n,s04074911n,,
http://babelnet.org/rdf/page/s05396981n,s05396981n,,
http://babelnet.org/rdf/page/s05452029n,s05452029n,,
http://babelnet.org/rdf/page/s05589790n,s05589790n,,
http://babelnet.org/rdf/page/s05589794n,s05589794n,,
http://babelnet.org/rdf/page/s05589798n,s05589798n,,
http://babelnet.org/rdf/page/s05589800n,s05589800n,,
http://babelnet.org/rdf/page/s05589852n,s05589852n,,
http://babelnet.org/rdf/page/s04626398n,s04626398n,,
http://babelnet.org/rdf/page/s06478250n,s06478250n,,
http://babelnet.org/rdf/page/s05225101n,s05225101n,,
http://babelnet.org/rdf/page/s06449543n,s06449543n,,
http://babelnet.org/rdf/page/s05413108n,s05413108n,,
http://babelnet.org/rdf/page/s18443383n,s18443383n,,
http://babelnet.org/rdf/page/s04191594n,s04191594n,,
http://babelnet.org/rdf/page/s05395969n,s05395969n,,
http://babelnet.org/rdf/page/s06493218n,s06493218n,,
http://babelnet.org/rdf/page/s06493340n,s06493340n,,
http://babelnet.org/rdf/page/s06493819n,s06493819n,,
http://babelnet.org/rdf/page/s06493822n,s06493822n,,
http://babelnet.org/rdf/page/s06607903n,s06607903n,,
http://babelnet.org/rdf/page/s10263919n,s10263919n,,
http://babelnet.org/rdf/page/s16010050n,s16010050n,,
http://babelnet.org/rdf/page/s17887155n,s17887155n,,
http://babelnet.org/rdf/page/s18177223n,s18177223n,,
http://babelnet.org/rdf/page/s23517128n,s23517128n,,
http://babelnet.org/rdf/page/s28834763n,s28834763n,,
http://babelnet.org/rdf/page/s29124955n,s29124955n,,
http://babelnet.org/rdf/page/s05769851n,s05769851n,,
http://babelnet.org/rdf/page/s05776331n,s05776331n,,
http://babelnet.org/rdf/page/s06172487n,s06172487n,,
http://babelnet.org/rdf/page/s06753188n,s06753188n,,
http://babelnet.org/rdf/page/s08669450n,s08669450n,,
http://babelnet.org/rdf/page/s08768542n,s08768542n,,
